Chidamber-Kemerer metrics,sábado, 26 nov 2022 18:35:08 GMT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl,18,2,17,1,27,20
biz.ganttproject.core.calendar.CalendarActivityImpl,4,1,3,0,5,6
biz.ganttproject.core.calendar.CalendarEvent,25,1,4,0,10,9
biz.ganttproject.core.calendar.CalendarEvent.Type,13,n/a,2,n/a,2,0
biz.ganttproject.core.calendar.GPCalendar,n/a,n/a,n/a,n/a,14,n/a
biz.ganttproject.core.calendar.GPCalendar.DayMask,n/a,n/a,n/a,n/a,0,n/a
biz.ganttproject.core.calendar.GPCalendar.DayType,17,n/a,2,n/a,2,0
biz.ganttproject.core.calendar.GPCalendarActivity,n/a,n/a,n/a,n/a,3,n/a
biz.ganttproject.core.calendar.GPCalendarBase,14,1,4,2,31,26
biz.ganttproject.core.calendar.GPCalendarCalc,n/a,n/a,n/a,n/a,9,n/a
biz.ganttproject.core.calendar.GPCalendarCalc.MoveDirection,6,n/a,2,n/a,2,0
biz.ganttproject.core.calendar.GPCalendarListener,n/a,n/a,n/a,n/a,1,n/a
biz.ganttproject.core.calendar.GanttDaysOff,10,1,1,0,24,12
biz.ganttproject.core.calendar.ImportCalendarOption,8,3,0,0,5,2
biz.ganttproject.core.calendar.ImportCalendarOption.Values,5,n/a,2,n/a,5,1
biz.ganttproject.core.calendar.WeekendCalendarImpl,32,2,3,1,65,63
biz.ganttproject.core.calendar.WeekendCalendarImplTest,6,3,1,0,21,8
biz.ganttproject.core.calendar.walker.ForwardTimeWalker,7,1,1,2,11,5
biz.ganttproject.core.calendar.walker.WorkingUnitCounter,12,2,1,0,12,7
biz.ganttproject.core.chart.canvas.Canvas,29,1,1,0,60,37
biz.ganttproject.core.chart.canvas.Canvas.Arrow,4,2,2,0,3,3
biz.ganttproject.core.chart.canvas.Canvas.HAlignment,5,n/a,2,n/a,2,0
biz.ganttproject.core.chart.canvas.Canvas.Label,11,1,1,0,4,4
biz.ganttproject.core.chart.canvas.Canvas.Line,13,2,5,0,7,7
