Class count metrics,Tue, 29 Nov 2022 17:05:06 WET
Package,C,C(rec),Cp,Cp(rec),Ct,TC(rec)
,n/a,"1,385",n/a,"1,385",n/a,0
net,n/a,"1,385",n/a,"1,385",n/a,0
net.sourceforge,n/a,"1,385",n/a,"1,385",n/a,0
net.sourceforge.ganttproject,236,"1,385",236,"1,385",0,0
net.sourceforge.ganttproject.action,23,129,23,129,0,0
net.sourceforge.ganttproject.action.edit,14,14,14,14,0,0
net.sourceforge.ganttproject.action.help,7,7,7,7,0,0
net.sourceforge.ganttproject.action.project,17,17,17,17,0,0
net.sourceforge.ganttproject.action.resource,17,17,17,17,0,0
net.sourceforge.ganttproject.action.scroll,5,5,5,5,0,0
net.sourceforge.ganttproject.action.task,37,37,37,37,0,0
net.sourceforge.ganttproject.action.view,6,6,6,6,0,0
net.sourceforge.ganttproject.action.zoom,3,3,3,3,0,0
net.sourceforge.ganttproject.application,2,2,2,2,0,0
net.sourceforge.ganttproject.calendar,23,23,23,23,0,0
net.sourceforge.ganttproject.chart,73,140,73,140,0,0
net.sourceforge.ganttproject.chart.export,4,4,4,4,0,0
net.sourceforge.ganttproject.chart.gantt,14,14,14,14,0,0
net.sourceforge.ganttproject.chart.item,7,7,7,7,0,0
net.sourceforge.ganttproject.chart.mouse,21,21,21,21,0,0
net.sourceforge.ganttproject.chart.overview,21,21,21,21,0,0
net.sourceforge.ganttproject.client,11,11,11,11,0,0
net.sourceforge.ganttproject.document,36,86,36,86,0,0
net.sourceforge.ganttproject.document.webdav,50,50,50,50,0,0
net.sourceforge.ganttproject.export,31,31,31,31,0,0
net.sourceforge.ganttproject.filter,2,2,2,2,0,0
net.sourceforge.ganttproject.font,1,1,1,1,0,0
net.sourceforge.ganttproject.gui,180,344,180,344,0,0
net.sourceforge.ganttproject.gui.about,1,1,1,1,0,0
net.sourceforge.ganttproject.gui.options,71,79,71,79,0,0
net.sourceforge.ganttproject.gui.options.model,8,8,8,8,0,0
net.sourceforge.ganttproject.gui.projectwizard,24,24,24,24,0,0
net.sourceforge.ganttproject.gui.scrolling,3,3,3,3,0,0
net.sourceforge.ganttproject.gui.tableView,12,12,12,12,0,0
net.sourceforge.ganttproject.gui.taskproperties,33,33,33,33,0,0
net.sourceforge.ganttproject.gui.view,6,6,6,6,0,0
net.sourceforge.ganttproject.gui.window,2,2,2,2,0,0
net.sourceforge.ganttproject.gui.zoom,4,4,4,4,0,0
net.sourceforge.ganttproject.importer,16,16,16,16,0,0
net.sourceforge.ganttproject.io,20,20,20,20,0,0
net.sourceforge.ganttproject.language,9,9,9,9,0,0
net.sourceforge.ganttproject.parser,28,28,28,28,0,0
net.sourceforge.ganttproject.plugins,1,1,1,1,0,0
net.sourceforge.ganttproject.print,25,25,25,25,0,0
net.sourceforge.ganttproject.resource,19,19,19,19,0,0
net.sourceforge.ganttproject.roles,12,12,12,12,0,0
net.sourceforge.ganttproject.search,28,28,28,28,0,0
net.sourceforge.ganttproject.shape,2,2,2,2,0,0
net.sourceforge.ganttproject.task,106,191,106,191,0,0
net.sourceforge.ganttproject.task.algorithm,42,42,42,42,0,0
net.sourceforge.ganttproject.task.dependency,29,35,29,35,0,0
net.sourceforge.ganttproject.task.dependency.constraint,6,6,6,6,0,0
net.sourceforge.ganttproject.task.event,6,6,6,6,0,0
net.sourceforge.ganttproject.task.hierarchy,2,2,2,2,0,0
net.sourceforge.ganttproject.undo,5,5,5,5,0,0
net.sourceforge.ganttproject.util,9,10,9,10,0,0
net.sourceforge.ganttproject.util.collect,1,1,1,1,0,0
net.sourceforge.ganttproject.wizard,14,14,14,14,0,0

Module,C,Cp,Ct
ganttproject,"1,385","1,385",0

Project,C,Cp,Ct
project,"1,385","1,385",0

